model	split	source_file	metric_path	value	source_directory
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.latency_p99_ms	704.961	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.peak_cpu_mb	13610.141	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.peak_cuda_mb	3501.239	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.peak_mps_mb		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.gpu_name	NVIDIA RTX 6000 Ada Generation	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.gpu_memory_gb	47.4	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.gpu_count	1	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.cpu_name	x86_64	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.ram_gb	125.5	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.cuda_version	12.8	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.pytorch_version	2.10.0+cu128	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.python_version	3.11.15	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.precision	fp32	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.batch_size	1	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.input_resolution	640x480	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.os	Linux 5.15.0-185-generic	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.system_card.driver_version		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	metric_translation_available	True	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated.rotation_error_deg	0.9631161693172609	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated.translation_angular_deg	10.137197044516396	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated.pose_error_max_deg	10.14759585742587	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated.translation_error_m	0.03003008481723007	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated.translation_l2	0.03003008481723007	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated.auc_5deg	0.14398891551827442	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated.auc_10deg	0.3518266926303175	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated.auc_20deg	0.5899385859796287	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.mean	4.5	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.median	4.5	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.std	2.8727166163416458	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.p5	0.0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.p95	9.0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.ci95_low_t	4.4019851481396435	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.ci95_high_t	4.5980148518603565	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.ci95_low_boot	4.403628787878787	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.ci95_high_boot	4.6	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.chain_position.n	3300	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.pose_error_max_deg.mean	10.14759585742587	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
